displayName,address,lng,lat,type
"常光睦鄰中心","九龍九龍城區何文田愛民邨禮民樓403-410室",114.17885617406614,22.31243669431373,"Food-Co Service Point"
"新福事工協會(少數族裔)","九龍油尖旺區旺角塘尾道18號嘉禮大廈21樓",114.16655479999997,22.3183146,"Food-Co Service Point"
"基督教仁愛教會","觀塘通明街九號A地下",114.22426100000007,22.312036,"Food-Co Service Point"
"播道會康福堂白普理社區發展中心","新界沙田區沙角邨銀鷗樓A座地下113-115號 ",114.1940617822437,22.37885356345352,"Food-Co Service Point"
"基督教互愛中心","九龍觀塘區茶寮坳順安道9號順天邨天衡樓",114.2247003,22.3272692,"Food-Co Service Point"
"民社糧友行動 (石硤尾)","九龍深水埗區石硤尾南昌街石硤尾邨19座美彩樓平台 201室",114.16606300000001,22.333125,"Food-Co Service Point"
"宏施慈善基金深水埗社會服務處","香港深水埗海壇街161號瑞英樓",114.1603133,22.3269317,"Food-Co Service Point"
"聖巴拿巴會之家","香港中西區西環豐物道21號",114.13543809046018,22.28780417354554,"Food-Co Service Point"
"PathFinders","九龍油尖旺區大角咀通州街123號惠賢中心, 2D Worldwide Centre",114.16246760000001,22.3245397,"Food-Co Service Point"
"曉妍居","G/F, 247-249 Queen's Rd E, Wan Chai, 香港",114.173862,22.2744181,"Food-Co Service Point"
"關愛動員","香港筲箕灣興民街68號 海天廣場12樓05室",114.2254666,22.2797494,"Food-Co Service Point"
"基督教宣道會宣恩堂牧的地家庭服務中心","九龍油尖旺大角咀晏架街4號麗華中心1樓b室",114.16488270000002,22.320235,"Food-Co Service Point"
"基督教播道會康福堂長者中心","新界沙田區沙角街6號博康邨博安樓",114.1926676736191,22.374530711818363,"Food-Co Service Point"
"基督教播道會美孚長者中心","九龍深水埗區美孚新邨百老匯街37-39號",114.13897521355898,22.336169141989732,"Food-Co Service Point"
"基督教播道會興田邨道真堂愛禮信長者中心","九龍觀塘區藍田連德道8號興田邨彩田樓",114.23907525399477,22.31299130212658,"Food-Co Service Point"
"深青社","九龍深水埗區營盤街130-134號1字樓B-D座",114.16072600000007,22.334528,"Food-Co Service Point"
"婦女社會服務中心","香港灣仔區軒尼詩道290-294號德華大廈13字樓",114.1772138,22.2778546,"Food-Co Service Point"
"香港聖公會麥理浩夫人中心","新界葵青區葵湧和宜合道22號",114.13643247941286,22.365343452232427,"Food-Co Service Point"
"「社區互惠銀行」計劃 - 石籬分行","新界葵青區葵涌石梨街6號石籬(二)邨石偉樓地下",114.13935072282106,22.364882088977694,"Food-Co Service Point"
"安好居家寧養服務","香港灣仔區灣仔石水渠街85號聖雅各福群會9樓912室",114.17372120000005,22.2733381,"Food-Co Service Point"
"基督教宣道會海怡堂","香港南區鴨脷洲西邨利滿樓低座地下 9-12 號",114.15322479999998,22.2386603,"Food-Co Service Point"
"基督教以勒教會","九龍觀塘區翠屏道19號翠屏北邨翠楊樓",114.23007912495882,22.316906856981632,"Food-Co Service Point"
"禧福協會 - 佐敦","九龍油尖旺區佐敦廟街239號八福薈15樓",114.17082770000002,22.3055206,"Food-Co Service Point"
"港島社會服務中心","香港灣仔區灣仔軒尼詩道130號修頓中心15字樓",114.17288899999994,22.277059,"Food-Co Service Point"
"香港浸信教會好鄰舍福音堂","香港中西區西環山道15 號 3樓 ",114.135493,22.286182,"Food-Co Service Point"
"禧福協會愛鄰舍","九龍油尖旺區旺角長旺道9號威特商業大廈4樓",114.16623673743436,22.32005223762942,"Food-Co Service Point"
"沙田婦女會新田總會","新界沙田區沙田新田村42A",114.18315600000005,22.372115,"Food-Co Service Point"
"沙田婦女會瀝源服務中心","新界沙田區瀝源邨商場地下38地下",114.19201840000005,22.3853316,"Food-Co Service Point"
"沙田婦女會沙角國民教育中心","新界沙田區沙角邨沙燕樓平台317-318",114.19460679999997,22.3783196,"Food-Co Service Point"
"香港華人基督會恩庭長者活動中心","九龍九龍城區何文田鳴暉閣地下",114.18232038179188,22.314236946824888,"Food-Co Service Point"
"聖雅各福群會李節街宿舍","香港灣仔區李節街一號一樓",114.16962009999997,22.277023,"Food-Co Service Point"
"中華基督教會灣仔堂The Church of Christ in China Wan Chai Church","香港灣仔區春園街77號合和中心6樓 中華基督教會灣仔堂 ",114.17181349852831,22.274142456562434,"Food-Co Service Point"
"香港戒毒會北九龍社會服務中心","九龍深水埗區福華街45-51號鴻福大廈2樓",114.16592779999996,22.3285503,"Food-Co Service Point"
"明愛單親家庭互助中心","香港東區北角炮台山道28A號明愛單親家庭互助中心",114.19543109999995,22.28755,"Food-Co Service Point"
"Mission For Migrant Workers","香港中西區中環花園道4-8號聖公會聖約翰座堂",114.15975019999996,22.2786912,"Food-Co Service Point"
"五旬節聖潔會筲箕灣堂有限公司基列社會服務中心","香港筲箕灣興民街54號雅歌苑",114.22406561234743,22.280985342146113,"Food-Co Service Point"
"博愛醫院鄭廖三紀念兒童及家庭發展中心","香港黃大仙鳳德邨鳳德社區中心一樓105室",114.20161600000006,22.34314699999999,"Food-Co Service Point"
"中國基督教播道會同福柴灣堂","香港柴灣利眾街24號東貿廣場25樓D室",114.2365683,22.265848,"Food-Co Service Point"
"足印義工","香港新界葵涌寶梨街怡峰苑",114.13890600000002,22.36175099999999,"Food-Co Service Point"
"循道衛理觀塘社會服務處 藍田樂齡鄰舍中心","九龍觀塘區藍田平田邨平仁樓地下5號",114.23661835053713,22.30857934765033,"Food-Co Service Point"
"聖雅各福群會社會房屋","九龍油尖旺區旺角豉油街12號24D",114.16850550000004,22.3161759,"Food-Co Service Point"
"金巴崙長老會寶臨堂","調景嶺健明村明域樓地下B,C翼",114.25060875275881,22.306971356576902,"Food-Co Service Point"
"教會關懷貧窮網絡","九龍大坑東棠蔭街15號",114.17064630000004,22.33029729999999,"Food-Co Service Point"
"新福事工協會(資源中心)","九龍油尖旺區旺角塘尾道18號嘉禮大廈21樓",114.16654832223207,22.318296381096104,"Food-Co Service Point"
"民社服務中心(油尖旺)","大角咀必發道118號茂盛中心11樓A室",114.16679399999998,22.31650299999999,"Food-Co Service Point"
"海麗兒童發展中心","九龍深水埗區長沙灣深旺道100號海麗邨海雅樓",114.1462113,22.3319851,"Food-Co Service Point"
"麗安邨家長互助幼兒中心","九龍深水埗區荔枝角道420號麗安邨1座麗德樓",114.15825493195803,22.331158747496374,"Food-Co Service Point"
"香港善導會扶輪宿舍","九龍黃大仙區樂富邨樂東樓地下",114.18646899999999,22.337084,"Food-Co Service Point"
"香港社區組織協會(社區新世界)","香港菴由元州街165號步陞工商業大廈4樓",114.16045702638928,22.334419225770265,"Food-Co Service Point"
"香港社區組織協會(汝州街)","九龍深水埗汝州街269號1樓",114.16198220000001,22.3295098,"Food-Co Service Point"
